Starting new VQE Run at Mon Feb  2 11:35:47 2026
Starting VQE with 3 layers.
Iteration 350/12000: VQE Energy = 502238.15297283296
Iteration 351/12000: VQE Energy = 500782.4440321829
Iteration 352/12000: VQE Energy = 499348.4886100178
Iteration 353/12000: VQE Energy = 497935.915026098
Iteration 354/12000: VQE Energy = 496544.3546926885
Iteration 355/12000: VQE Energy = 495173.44213728694
Iteration 356/12000: VQE Energy = 493822.81502560433
Iteration 357/12000: VQE Energy = 492492.1141845806
Iteration 358/12000: VQE Energy = 491180.98362540844
Iteration 359/12000: VQE Energy = 489889.0705665
Iteration 360/12000: VQE Energy = 488616.0254562276
Iteration 361/12000: VQE Energy = 487361.50199544505
Iteration 362/12000: VQE Energy = 486125.15715963725
Iteration 363/12000: VQE Energy = 484906.6512206767
Iteration 364/12000: VQE Energy = 483705.6477680531
Iteration 365/12000: VQE Energy = 482521.8137295705
Iteration 366/12000: VQE Energy = 481354.8193913792
Iteration 367/12000: VQE Energy = 480204.3384173784
Iteration 368/12000: VQE Energy = 479070.04786781734
Iteration 369/12000: VQE Energy = 477951.6282171781
Iteration 370/12000: VQE Energy = 476848.7633711778
Iteration 371/12000: VQE Energy = 475761.1406829661
Iteration 372/12000: VQE Energy = 474688.45096840814
Iteration 373/12000: VQE Energy = 473630.38852043054
Iteration 374/12000: VQE Energy = 472586.65112245263
Iteration 375/12000: VQE Energy = 471556.94006082404
Iteration 376/12000: VQE Energy = 470540.96013625775
Iteration 377/12000: VQE Energy = 469538.41967425
Iteration 378/12000: VQE Energy = 468549.0305344287
Iteration 379/12000: VQE Energy = 467572.5081188619
Iteration 380/12000: VQE Energy = 466608.5713792216
Iteration 381/12000: VQE Energy = 465656.9428228829
Iteration 382/12000: VQE Energy = 464717.3485178605
Iteration 383/12000: VQE Energy = 463789.5180965764
Iteration 384/12000: VQE Energy = 462873.1847585128
Iteration 385/12000: VQE Energy = 461968.0852716464
Iteration 386/12000: VQE Energy = 461073.95997270214
Iteration 387/12000: VQE Energy = 460190.55276623345
Iteration 388/12000: VQE Energy = 459317.61112247646
Iteration 389/12000: VQE Energy = 458454.8860740316
Iteration 390/12000: VQE Energy = 457602.13221130567
Iteration 391/12000: VQE Energy = 456759.1076768078
Iteration 392/12000: VQE Energy = 455925.5741581783
Iteration 393/12000: VQE Energy = 455101.2968800827
Iteration 394/12000: VQE Energy = 454286.04459489306
Iteration 395/12000: VQE Energy = 453479.5895721887
Iteration 396/12000: VQE Energy = 452681.70758708206
Iteration 397/12000: VQE Energy = 451892.1779074244
Iteration 398/12000: VQE Energy = 451110.783279826
Iteration 399/12000: VQE Energy = 450337.30991457833
Iteration 400/12000: VQE Energy = 449571.5474694565
Iteration 401/12000: VQE Energy = 448813.28903245094
Iteration 402/12000: VQE Energy = 448062.3311033918
Iteration 403/12000: VQE Energy = 447318.473574591
Iteration 404/12000: VQE Energy = 446581.5197104078
Iteration 405/12000: VQE Energy = 445851.27612583956
Iteration 406/12000: VQE Energy = 445127.55276415235
Iteration 407/12000: VQE Energy = 444410.16287353873
Iteration 408/12000: VQE Energy = 443698.92298290646
Iteration 409/12000: VQE Energy = 442993.65287671244
Iteration 410/12000: VQE Energy = 442294.17556899274
Iteration 411/12000: VQE Energy = 441600.31727654213
Iteration 412/12000: VQE Energy = 440911.90739127726
Iteration 413/12000: VQE Energy = 440228.77845185343
Iteration 414/12000: VQE Energy = 439550.76611452736
Iteration 415/12000: VQE Energy = 438877.7091233161
Iteration 416/12000: VQE Energy = 438209.4492794807
Iteration 417/12000: VQE Energy = 437545.8314103668
Iteration 418/12000: VQE Energy = 436886.7033376265
Iteration 419/12000: VQE Energy = 436231.9158448742
Iteration 420/12000: VQE Energy = 435581.3226447986
Iteration 421/12000: VQE Energy = 434934.78034573275
Iteration 422/12000: VQE Energy = 434292.1484178016
Iteration 423/12000: VQE Energy = 433653.2891585616
Iteration 424/12000: VQE Energy = 433018.06765826914
Iteration 425/12000: VQE Energy = 432386.3517647687
Iteration 426/12000: VQE Energy = 431758.0120479979
Iteration 427/12000: VQE Energy = 431132.9217642233
Iteration 428/12000: VQE Energy = 430510.95681996853
Iteration 429/12000: VQE Energy = 429891.9957356908
Iteration 430/12000: VQE Energy = 429275.9196092681
Iteration 431/12000: VQE Energy = 428662.6120792588
Iteration 432/12000: VQE Energy = 428051.95928802266
Iteration 433/12000: VQE Energy = 427443.8498447393
Iteration 434/12000: VQE Energy = 426838.1747882911
Iteration 435/12000: VQE Energy = 426234.8275501066
Iteration 436/12000: VQE Energy = 425633.70391695504
Iteration 437/12000: VQE Energy = 425034.7019937359
Iteration 438/12000: VQE Energy = 424437.7221662786
Iteration 439/12000: VQE Energy = 423842.6670641955
Iteration 440/12000: VQE Energy = 423249.44152379234
Iteration 441/12000: VQE Energy = 422657.95255109284
Iteration 442/12000: VQE Energy = 422068.10928497324
Iteration 443/12000: VQE Energy = 421479.8229604189
Iteration 444/12000: VQE Energy = 420893.006872008
Iteration 445/12000: VQE Energy = 420307.5763375223
Iteration 446/12000: VQE Energy = 419723.44866179687
Iteration 447/12000: VQE Energy = 419140.5431008123
Iteration 448/12000: VQE Energy = 418558.7808260263
Iteration 449/12000: VQE Energy = 417978.0848889867
Iteration 450/12000: VQE Energy = 417398.38018621784
Iteration 451/12000: VQE Energy = 416819.59342445445
Iteration 452/12000: VQE Energy = 416241.653086164
Iteration 453/12000: VQE Energy = 415664.4893954259
Iteration 454/12000: VQE Energy = 415088.0342841866
Iteration 455/12000: VQE Energy = 414512.22135886387
Iteration 456/12000: VQE Energy = 413936.9858673563
Iteration 457/12000: VQE Energy = 413362.26466644194
Iteration 458/12000: VQE Energy = 412787.99618959223
Iteration 459/12000: VQE Energy = 412214.12041522603
Iteration 460/12000: VQE Energy = 411640.5788353882
Iteration 461/12000: VQE Energy = 411067.314424851
Iteration 462/12000: VQE Energy = 410494.2716107175
Iteration 463/12000: VQE Energy = 409921.39624244417
Iteration 464/12000: VQE Energy = 409348.63556236174
Iteration 465/12000: VQE Energy = 408775.9381766544
Iteration 466/12000: VQE Energy = 408203.25402682595
Iteration 467/12000: VQE Energy = 407630.53436166473
Iteration 468/12000: VQE Energy = 407057.7317096774
Iteration 469/12000: VQE Energy = 406484.7998520371
Iteration 470/12000: VQE Energy = 405911.6937960181
Iteration 471/12000: VQE Energy = 405338.36974893924
Iteration 472/12000: VQE Energy = 404764.7850925901
Iteration 473/12000: VQE Energy = 404190.89835818316
Iteration 474/12000: VQE Energy = 403616.6692017872
Iteration 475/12000: VQE Energy = 403042.0583802669
Iteration 476/12000: VQE Energy = 402467.0277277227
Iteration 477/12000: VQE Energy = 401891.5401324404
Iteration 478/12000: VQE Energy = 401315.55951431463
Iteration 479/12000: VQE Energy = 400739.05080277903
Iteration 480/12000: VQE Energy = 400161.97991521674
Iteration 481/12000: VQE Energy = 399584.31373586314
Iteration 482/12000: VQE Energy = 399006.02009520284
Iteration 483/12000: VQE Energy = 398427.0677498004
Iteration 484/12000: VQE Energy = 397847.4263626598
Iteration 485/12000: VQE Energy = 397267.06648400077
Iteration 486/12000: VQE Energy = 396685.9595325268
Iteration 487/12000: VQE Energy = 396104.07777712966
Iteration 488/12000: VQE Energy = 395521.39431906585
Iteration 489/12000: VQE Energy = 394937.88307453354
Iteration 490/12000: VQE Energy = 394353.51875772927
Iteration 491/12000: VQE Energy = 393768.2768643012
Iteration 492/12000: VQE Energy = 393182.13365524734
Iteration 493/12000: VQE Energy = 392595.0661411902
Iteration 494/12000: VQE Energy = 392007.05206711264
Iteration 495/12000: VQE Energy = 391418.06989744125
Iteration 496/12000: VQE Energy = 390828.09880153195
Iteration 497/12000: VQE Energy = 390237.11863957776
Iteration 498/12000: VQE Energy = 389645.10994882014
Iteration 499/12000: VQE Energy = 389052.05393020436
Iteration 500/12000: VQE Energy = 388457.9324353394
Iteration 501/12000: VQE Energy = 387862.7279538205
Iteration 502/12000: VQE Energy = 387266.42360092315
Iteration 503/12000: VQE Energy = 386669.00310559134
Iteration 504/12000: VQE Energy = 386070.4507987954
Iteration 505/12000: VQE Energy = 385470.75160216755
Iteration 506/12000: VQE Energy = 384869.8910169941
Iteration 507/12000: VQE Energy = 384267.85511347564
Iteration 508/12000: VQE Energy = 383664.63052030833
Iteration 509/12000: VQE Energy = 383060.2044145385
Iteration 510/12000: VQE Energy = 382454.56451171474
Iteration 511/12000: VQE Energy = 381847.69905631186
Iteration 512/12000: VQE Energy = 381239.5968124217
Iteration 513/12000: VQE Energy = 380630.24705468863
Iteration 514/12000: VQE Energy = 380019.63955954416
Iteration 515/12000: VQE Energy = 379407.7645966399
Iteration 516/12000: VQE Energy = 378794.61292054196
Iteration 517/12000: VQE Energy = 378180.17576268653
Iteration 518/12000: VQE Energy = 377564.44482350856
Iteration 519/12000: VQE Energy = 376947.41226484784
Iteration 520/12000: VQE Energy = 376329.0707025288
Iteration 521/12000: VQE Energy = 375709.413199186
Iteration 522/12000: VQE Energy = 375088.43325726234
Iteration 523/12000: VQE Energy = 374466.1248122285
Iteration 524/12000: VQE Energy = 373842.482225989
Iteration 525/12000: VQE Energy = 373217.50028047175
Iteration 526/12000: VQE Energy = 372591.1741714001
Iteration 527/12000: VQE Energy = 371963.49950225215
Iteration 528/12000: VQE Energy = 371334.4722783824
Iteration 529/12000: VQE Energy = 370704.0889013147
